Code du département,Code de la commune,Code sexe,codesPostaux,population,zone,etiquette_politique,communes_voisines,resultats_votes,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
40,40046,F,40600,15412.0,metro,Divers droite,,{'LDVD': 46.01},64.9,10.5,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 13.2, 'Cadres': 11.7, 'Profession intermédiaire': 24.4, 'Employé': 32.9, 'Ouvrier': 17.4}",10.0,6.9,10.1,20.8,7.9
40,40088,M,40100,21716.0,metro,Divers Centre,,"{'LDVC': 56.76, 'LDVG': 43.23}",61.3,7.0,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 7.5, 'Cadres': 14.6, 'Profession intermédiaire': 29.1, 'Employé': 34.8, 'Ouvrier': 13.7}",20.0,8.6,17.5,18.1,8.4
40,40192,M,40000,31455.0,metro,Divers droite,,"{'LDVD': 53.94, 'LUG': 36.77, 'LDVG': 9.28}",62.0,6.5,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 4.9, 'Cadres': 13.9, 'Profession intermédiaire': 32.7, 'Employé': 34.1, 'Ouvrier': 14.2}",16.0,9.1,10.0,20.0,7.9
40,40279,M,40990,14114.0,metro,Divers gauche,40100,"{'LDVG': 33.45, 'LDVC': 27.45}",66.5,8.0,"{'Agriculteur': 0.5, 'Artisan, commerçant et chef d’entreprise': 7.2, 'Cadres': 9.6, 'Profession intermédiaire': 26.3, 'Employé': 37.5, 'Ouvrier': 18.8}",14.0,7.6,11.3,18.1,6.6
40,40312,M,40220,12900.0,metro,,64100,"{'LDVG': 15.13, 'LDVC': 16.22}",67.3,7.5,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.8, 'Cadres': 18.0, 'Profession intermédiaire': 28.5, 'Employé': 20.9, 'Ouvrier': 25.3}",10.0,8.1,8.1,19.7,7.5
41,41018,M,41000,47092.0,metro,Parti socialiste,,"{'LSOC': 55.98, 'LMDM': 14.48, 'LLR': 13.79, 'LRN': 7.29, 'LDIV': 6.76, 'LEXG': 1.68}",58.1,4.9,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 4.2, 'Cadres': 19.2, 'Profession intermédiaire': 31.2, 'Employé': 26.4, 'Ouvrier': 18.8}",27.0,13.6,9.8,16.4,11.7
41,41194,M,41200,18377.0,metro,Divers gauche,,"{'LDVG': 39.58, 'LDVC': 32.21, 'LUG': 17.34, 'LUD': 10.85}",61.6,8.1,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 6.1, 'Cadres': 11.7, 'Profession intermédiaire': 24.1, 'Employé': 32.6, 'Ouvrier': 25.1}",19.0,9.7,13.3,15.0,4.4
41,41269,M,41100,15566.0,metro,Divers droite,,"{'LDVD': 54.64, 'LUG': 20.77, 'LVEC': 13.27, 'LDVC': 11.3}",61.5,8.6,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.1, 'Cadres': 15.8, 'Profession intermédiaire': 26.4, 'Employé': 29.1, 'Ouvrier': 23.3}",20.0,8.7,14.9,14.8,8.2
42,42005,M,42160,10312.0,metro,Divers Centre,,"{'LDVC': 59.84, 'LDVD': 40.15}",67.1,4.8,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.0, 'Cadres': 13.1, 'Profession intermédiaire': 27.1, 'Employé': 18.3, 'Ouvrier': 36.3}",17.0,11.5,7.8,17.8,8.2
42,42044,M,42500,12307.0,metro,Divers droite,42700,{'LDVD': 100.0},57.6,5.7,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 7.0, 'Cadres': 10.9, 'Profession intermédiaire': 25.7, 'Employé': 24.6, 'Ouvrier': 31.5}",25.0,11.9,12.5,14.7,3.4
